timestamp,agent_id,state,pos_x,pos_y,pos_z,nodo_actual,nodo_siguiente,velocidad
2024-11-18 10:33:19.122657,0,searching,100.00,0,-100.00,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-99.70,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-99.40,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-99.10,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-98.80,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-98.50,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-98.20,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-97.90,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-97.60,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-97.30,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-97.00,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-96.70,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-96.40,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-96.10,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-95.80,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-95.50,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-95.20,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-94.90,0,1,0.3
2024-11-18 10:33:19.122657,0,searching,100.00,0,-94.60,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-94.30,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-94.00,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-93.70,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-93.40,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-93.10,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-92.80,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-92.50,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-92.20,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-91.90,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-91.60,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-91.30,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-91.00,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-90.70,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-90.40,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-90.10,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-89.80,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-89.50,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-89.20,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-88.90,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-88.61,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-88.31,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-88.01,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-87.71,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-87.41,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-87.11,0,1,0.3
2024-11-18 10:33:19.123974,0,searching,100.00,0,-86.81,0,1,0.3
